# 2026-07 Monthly Brief screening ledger
# count=365 | main=3bb929004ff8b547b86e5f1beab0efb3dac19d62 | blob=beb2aa7615b583b4c9c0c269974601a0b26c2684

001 | top  | 2026-07-31 | GL | 2026-07-31_GL_02 | 인도, 5,000MW 수상태양광·최소 2시간 ESS PM-Surya Sarovar 승인 | FACT: 인도 연방 내각은 PM-Surya Sarovar Yojana를 승인했다. 제도는 5,000MW 수상태양광과 최소 2시간 에너지저장장치를 결합하는 구조를 지원한다. | GATE: 이번 사건은 제도 승인 단계이며 개별 프로젝트 선정·착공을 의미하지 않는다. 후속 판단 지점은 세부 사업 선정과 실제 집행 속도다.
115 | high | 2026-07-23 | GL | 2026-07-23_GL_01 | 엔켐, 중국 ESS 전해액 공급 70% 증가·북미 확대 준비 | FACT: 아시아경제는 엔켐의 중국 ESS용 전해액 공급량이 전년 대비 약 70% 증가했다고 보도했다. 더벨은 2025년 엔켐 중국법인의 전해액 공급량을 약 3만8천톤으로 전했다. 이데일리는 회사가 북미 ESS용 LFP 전해액 공급확대를 준비하고 있다고 보도했다. | GATE: 중국은 실제 공급증가, 북미는 준비단계로 구분된다. 두 시장의 계획이 실제 출하와 가동률 개선으로 이어지는지는 별도 확인이 필요하다.
116 | high | 2026-07-23 | EU | 2026-07-23_EU_05 | Prosolia, 포르투갈 Albispark 15MW·60MWh BESS 가동 | FACT: Prosolia Energy는 7월 23일 포르투갈 Castelo Branco의 Albispark 태양광 발전소에 15MW·60MWh BESS를 상업가동했다고 밝혔다. 저장설비는 34.4MWp 태양광과 결합되고 150kV 송전망에 직접 연결된다. | GATE: 가동 용량과 계통연결은 확인됐지만 CAPEX, PPA·merchant 비중, 보조서비스 계약과 목표수익률은 공개되지 않았다. 4시간 용량 자체를 안정적 현금흐름으로 해석해서는 안 된다.
117 | high | 2026-07-23 | EU | 2026-07-23_EU_04 | R.Power, 폴란드 BESS 550MW·2.2GWh EPC 계약 체결 | FACT: R.Power는 Dzięgielewo 300MW·1,200MWh 프로젝트에 ONDE를, Gdańsk 250MW·1,000MWh 프로젝트에 ESIX를 EPC 사업자로 선정해 계약을 체결했다. 합계 550MW·2.2GWh이며 상업운전 목표는 2027년 말부터 2028년 초다. | GATE: EPC 계약은 실행단계 진전이지만 착공·배터리 공급계약·장기서비스계약과 프로젝트 파이낸싱 완료를 의미하지 않는다. 실제 공급망 수요는 주요 기자재 발주와 공사 진척에서 확정된다.
118 | high | 2026-07-23 | EU | 2026-07-23_EU_03 | SSE Sloy, 16GWh·최대 100시간 양수저장 계획허가 확보 | FACT: SSE는 7월 23일 스코틀랜드 정부로부터 Sloy 수력발전소 업그레이드 계획허가를 확보했다. 전환안은 최대 100MW 펌핑, 최대 16GWh·약 100시간 저장과 발전용량 160MW를 제시한다. SSE는 2027년 말 최종투자결정, 2030년 말 가동을 목표로 하고 있다. | GATE: 계획허가는 건설결정이나 자금조달 완료가 아니다. 사업성은 장주기 저장의 수익지원 제도, 최종투자결정, 공사비와 개조공정 확정에 달려 있다.
119 | high | 2026-07-23 | EU | 2026-07-23_EU_02 | ENGIE, 스코틀랜드 100MW·200MWh BESS 2곳 상업운전 | FACT: ENGIE는 2026년 7월 스코틀랜드 Cathkin과 Broxburn BESS의 상업운전을 시작했다. 각 시설은 50MW·100MWh이며 합산 100MW·200MWh로 영국 전력·밸런싱시장에 참여한다. | GATE: 건설계획이 실제 시장참여 자산으로 전환된 사례다. ORUS 기반 최적화 성과와 가동실적이 운영가치를 판단할 기준이다.
120 | high | 2026-07-23 | EU | 2026-07-23_EU_01 | Aukera, 루마니아 100MW·200MWh BESS 2단계 금융조달 | FACT: Clifford Chance에 따르면 IFC는 Aukera의 BESS 2단계에 4,850만유로 금융을 제공한다. Balkan Green Energy News는 2단계 규모를 100MW·200MWh로 보도했다. | GATE: 동유럽 BESS가 개발계획을 넘어 프로젝트금융 단계로 이동한 사례다. 금융조달 이후 실제 착공과 공정진척이 사업성 판단의 핵심이다.
121 | high | 2026-07-23 | CN | 2026-07-23_CN_01 | 중국, 재생에너지 15차5개년 계획 공개 | FACT: 중국은 15차5개년 재생에너지 계획을 공개하고 2030년 재생에너지 발전설비 약 35억kW 목표를 제시했다. 이 수치는 재생에너지 총설비 목표이며 ESS 별도 설치물량은 아니다. | GATE: 계획은 재생에너지 총설비 목표를 제시하지만 ESS 별도 설치물량을 확정한 문서는 아니다. 저장장치 수요는 후속 시행문서와 실제 프로젝트 발주에서 확인해야 한다.
122 | high | 2026-07-22 | KR | 2026-07-22_KR_04 | 에코프로비엠·솔브레인·애경케미칼, 소듐이온 소재 패키지 동맹 | FACT: 에코프로비엠, 솔브레인, 애경케미칼은 7월 22일 K-Sodium Alliance 업무협약을 체결했다. 에코프로비엠은 양극재와 연산 1,000톤 규모 파일럿 기반을, 솔브레인은 전해액·첨가제를, 애경케미칼은 하드카본 음극재를 담당해 소재 조합을 최적화하고 셀 제조사·완성차를 대상으로 공동 프로모션을 추진한다. | GATE: 국내 최초의 소재기업 공동개발 구조라는 의미는 있으나 현재는 MOU와 파일럿 단계다. 셀 성능, 원가, 양산수율, 고객평가와 공급계약은 별도로 확인해야 한다.
123 | high | 2026-07-22 | KR | 2026-07-22_KR_03 | 폐납산배터리 제련소 29곳 조사, 13건 위반·9곳 행정처분 | FACT: 정혜경 의원실 자료에 따르면 전국 납 2차제련 사업장 29곳에서 13건의 위반이 적발됐다. 에너지신문은 조사 후 9개 사업장에 행정처분이 이뤄졌다고 보도했다. | GATE: 재활용시설도 순환경제 성과와 별개로 환경규제 위험을 관리해야 한다. 원료회수량뿐 아니라 실제 배출관리와 허가준수가 사업지속성의 핵심이다.
124 | high | 2026-07-22 | KR | 2026-07-22_KR_02 | 부산대 등 7개 기관, 71억원 열폭주 차단소재 개발과제 수행 | FACT: 부산대는 7개 기관이 참여하는 총 71억원 규모 과제선정 사실을 발표했다. 전기신문은 과제목표를 자가세라믹화 열폭주 확산 차단 복합소재 개발로 소개했다. | GATE: 배터리 화재대응이 셀제어뿐 아니라 팩 내부 차단소재로 확장되는 연구축이다. 과제선정은 상용검증과 구분되며, 실제 셀·모듈 시험이 핵심이다.
125 | high | 2026-07-22 | GL | 2026-07-22_GL_04 | Lynas, 말레이시아 중희토류 증설비 1.8억→2.94억호주달러 | FACT: Lynas의 6월분기 매출은 2억8,890만호주달러, 평균판매가격은 kg당 98.2호주달러로 사상 최고를 기록했다. Dy·Tb 생산은 19톤이었고 말레이시아 중희토류 증설 예상비용은 기존 1억8,000만호주달러에서 약 2억9,400만호주달러로 63% 증가했다. 회사는 중국 외 특수장비 조달과 지정학적 비용 상승을 주요 원 | GATE: 가격·매출 호조가 CAPEX 상승을 상쇄한다고 단정할 수 없다. 2억9,400만호주달러는 최신 예상치이며 추가 공정의 완공·품질인증·고객주문과 Gd·Y·Lu 생산일정이 남아 있다.
126 | high | 2026-07-22 | GL | 2026-07-22_GL_03 | 중국 탄산리튬 선물, 13만6,800위안·5개월 저점 | FACT: The Northern Miner는 중국 탄산리튬 선물이 5개월 저점으로 하락했다고 보도했다. OilPrice.com은 주력계약 가격을 톤당 13만6,800위안으로 제시했다. | GATE: 선물가격이 최근 고점에서 조정된 시장신호다. 하락원인은 현재 인용만으로 단정하지 않고 추가 자료로 확인할 필요가 있다.
127 | high | 2026-07-22 | GL | 2026-07-22_GL_02 | Vale·GEM·에코프로 BNSI, HPAL 오토클레이브 반입 | FACT: PT Vale, GEM과 에코프로는 7월 22일 인도네시아 Morowali Sambalagi HPAL 프로젝트에 핵심설비인 오토클레이브를 반입했다. 시설은 연 1,040만톤의 limonite 원료를 투입해 MHP 형태로 연 약 9만톤의 함유니켈을 생산하도록 설계됐고 A·B·C 3개 라인 중 첫 기계적 완공을 2026년 말 | GATE: 9만톤은 설계용량이며 실제 생산량이 아니다. 기계적 완공, 시운전, 황산·원료 공급과 초기 수율 안정화가 순차적으로 남아 있고 2027년 2분기 가동 목표와 상업생산은 구분해야 한다.
128 | high | 2026-07-22 | EU | 2026-07-22_EU_03 | 슬로바키아 Nováky 36MW/72MWh BESS 가동 | FACT: Slovenské elektrárne는 7월 22일 Nováky 옛 석탄발전소 부지의 36MW/72MWh 배터리 저장시설을 가동했다고 밝혔다. 시설은 12MW와 24MW 두 구간으로 구성되며 주파수 안정화를 위한 FCR을 제공한다. | GATE: 이번 사건은 계획·착공이 아니라 가동·운영 단계다. 다만 '슬로바키아 최대'라는 지위는 향후 더 큰 프로젝트가 가동되면 바뀔 수 있어 후속 확인이 필요하다.
129 | high | 2026-07-22 | EU | 2026-07-22_EU_02 | 튀니지 STEG, 주거용 태양광 연계 배터리 공식 허용 | FACT: 튀니지 국영 전력회사 STEG는 7월 22일 모든 주거 고객이 하이브리드 인버터와 연결된 태양광 설비에 배터리 저장장치를 설치할 수 있도록 공식 허용하고 설계·설치·운영 기술지침을 공개했다. 주거용 계통연계 태양광의 배터리 사용은 이전까지 허용되지 않았다. | GATE: 법적 허용은 수요 개방의 필요조건일 뿐 설치 급증을 보장하지 않는다. 제품 인증, 설치승인, 요금구조, 금융비용과 시공역량이 보급속도를 결정한다.
130 | high | 2026-07-22 | EU | 2026-07-22_EU_01 | 중국 브랜드, 6월 유럽 PHEV 인도의 34% 차지 | FACT: Dataforce 집계를 인용한 보도에 따르면 중국 브랜드는 6월 유럽 플러그인하이브리드차 인도의 34%를 차지해 사상 최고치를 기록했다. 같은 집계에서 중국 브랜드의 전체 신차 비중은 약 11%, 순수전기차 비중은 약 15%로 PHEV 침투율이 더 높았다. | GATE: 34%는 단일 월의 유럽 PHEV 인도 비중이며 전체 자동차시장 점유율이나 연간 추세와 동일하지 않다. 지속성은 월별 판매, 현지생산과 관세·규제 적용범위를 함께 확인해야 한다.
131 | high | 2026-07-21 | US | 2026-07-21_US_05 | LG에너지솔루션 원고 특허소송, 별도 ITC 제소 병행 | FACT: 텍사스 동부지법 사건기록은 LG에너지솔루션을 원고로 표시하고 사건 접수일을 2026년 7월 21일로 기록했다. 튤립 이노베이션 자료는 미국 국제무역위원회에 제소했다고 밝혔다. | GATE: 연방법원 특허소송과 ITC 제소가 병행된 사건이다. 두 절차의 당사자와 진행단계를 분리해 확인할 필요가 있다.
132 | high | 2026-07-21 | US | 2026-07-21_US_03 | Comstock·Illuminate USA, 오하이오 5GW 태양광공장 제조폐기물 재활용 계약 | FACT: Comstock Metals는 오하이오주 Pataskala의 Illuminate USA 태양광모듈 공장에서 발생하는 제조 부산물을 운송·분류·재활용하는 서비스계약을 체결했다. 해당 공장은 연 5GW 모듈 생산능력을 보유하며 계약은 무매립 처리를 목표로 한다. | GATE: 5GW는 Illuminate USA 공장의 연간 생산능력이지 재활용 대상 폐기물량이 아니다. 계약기간, 실제 처리톤수와 회수율은 공개되지 않아 운영실적을 별도로 확인해야 한다.
133 | high | 2026-07-21 | US | 2026-07-21_US_02 | USITC, 배터리용 음극재 Section 337 조사 337-TA-1513 개시 | FACT: 미국 국제무역위원회(USITC)는 배터리셀·배터리에 사용되는 특정 음극재에 대한 Section 337 조사 337-TA-1513을 개시했다. 현재 단계는 조사개시이며 침해판정이나 수입제한 결정이 아니다. | GATE: 조사개시는 침해판정이나 수입금지명령이 아니다. 행정법판사 심리와 위원회 최종판정 전까지 법적 효과를 확정해서는 안 된다.
134 | high | 2026-07-21 | KR | 2026-07-21_KR_01 | 한국, 그리드코드 전문위원회 출범해 BESS 안전·계통연계 논의 | FACT: 기후에너지환경부 전기위원회는 2026년 7월 21일 제1차 그리드코드 전문위원회를 개최했다. 기존 전력계통 및 신뢰도 전문위원회를 개편한 조직으로 기술적 운영기준과 중장기 개선방향을 검토한다. 회의에서는 BESS 안전성과 계통연계기준 등이 논의대상으로 제시됐다. | GATE: 상설 전문가 협의체 출범은 계통기술 기준을 정비할 공식 논의창구가 마련됐다는 의미다. 그러나 첫 회의가 즉시 기술기준 개정이나 신규 의무 시행을 뜻하지는 않는다. 후속 의결과 규정반영 여부가 실제 산업영향을 결정한다.
135 | high | 2026-07-21 | JP | 2026-07-21_JP_02 | Tensor Energy·LC Japan, 2028년 저압 ESS 1,000기 집합화 추진 | FACT: Tensor Energy와 LC Japan은 저압계통 ESS 집합사업 협력을 시작했다. LC Japan은 기획, 판매와 EPC를 담당하고 Tensor Energy는 집합운영 역할을 맡는다. 양사는 2028년까지 저압계통용 ESS 1,000기 집합화를 목표로 제시했다. | GATE: 1,000기는 확정 설치물량이 아니라 양사가 제시한 목표치다. 협업은 LC Japan의 기획·판매·EPC와 Tensor Energy의 집합운영을 결합한다. 실제 설치계약과 시장등록이 사업모델의 실행력을 결정한다.
136 | high | 2026-07-21 | JP | 2026-07-21_JP_01 | RENON POWER, 일본 저압계통 ESS 500개 사이트 수주 | FACT: RENON POWER의 저압계통용 ESS 패키지는 157~200kWh 배터리, 49.9kW PCS, 변압기, EMS, 설치공사와 10년 제품보증으로 구성된다. 회사는 누적 수주가 500개 사이트를 넘었다고 밝혔다. 수주분은 제조·조달을 거쳐 순차 납품될 예정이다. | GATE: 500개는 수주 사이트 수로 설치·계통연계·운전완료 대수와 구분해야 한다. 표준패키지 방식은 반복조달에 유리하지만 수주잔고의 실제 전환속도가 중요하다. 제조·납품과 시장등록 실적이 다음 판단기준이다.
137 | high | 2026-07-21 | GL | 2026-07-21_GL_05 | 짐바브웨, 리튬정광 1,000톤 첫 철도편으로 마푸투 수송 | FACT: 짐바브웨 국영철도는 Beitbridge Bulawayo Railway와 Silvergill Logistics와 협력해 그완다에서 모잠비크 마푸투항으로 리튬정광 1,000톤을 철도로 수송했다. 이는 트럭 중심 수출에 추가 철도경로를 제공한 첫 운송으로 발표됐다. | GATE: 첫 1,000톤 운송은 내륙-항만 철도경로의 실행 가능성을 보여준다. 다만 단발 운송만으로 상시 수송능력이나 비용경쟁력을 판단할 수 없어 정기편과 처리량 확대를 확인해야 한다.
138 | high | 2026-07-21 | EU | 2026-07-21_EU_07 | Moto Exeter, 승용 100면·eHGV 4면 초급속 충전허브 확대 | FACT: 영국 Moto Hospitality는 Exeter 서비스구역의 충전허브를 확대했다. 현장은 최대 400kW Moto Charge 24면, Tesla 32면, GRIDSERVE 44면 등 승용차 100면과 전기 대형화물차 전용 4면을 갖췄다. | GATE: 승용 100면은 여러 사업자의 충전베이를 합산한 수치이며 모두 400kW인 것은 아니다. 실제 이용편의는 가동률, 대기시간과 전력제약에 달려 있다.
139 | high | 2026-07-21 | EU | 2026-07-21_EU_06 | 라트비아 Saules BESS, 태양광 8개 부지·120MWh에 2,200만유로 채권조달 | FACT: Saules BESS는 라트비아의 운영 중 태양광발전소 8곳에 합계 120MWh BESS를 설치하기 위해 2,200만유로 선순위 담보채권을 발행했다. 현재 확인된 수치는 채권규모 2,200만유로와 저장용량 120MWh다. | GATE: 2,200만유로 채권발행은 프로젝트 재원을 구체화한 단계다. 실제 설치완료나 가동을 의미하지 않으므로 8개 부지별 장비인도와 계통시험을 확인해야 한다.
140 | high | 2026-07-21 | EU | 2026-07-21_EU_05 | cylib, 바이에른 최대 연 1만톤 배터리 재활용시설 인수 | FACT: cylib는 독일 바이에른주 베른베르크쾨블리츠의 배터리 재활용시설을 인수했다. 해당 시설은 연간 최대 1만톤 처리능력을 갖추며 회사는 2026년 4분기 가동개시를 계획한다. | GATE: 기존 시설 인수는 신규 그린필드 건설보다 빠른 증설경로가 될 수 있다. 다만 연 1만톤은 최대 처리능력이며 실제 투입량·회수율과는 구분해야 한다.
